No.,firm_class,firm,title,question,sample_answer
1,戦略系（MBB等）,BCG,腕時計問題,"国内の腕時計の市場規模を推定してください。
腕時計市場の規模を増やす施策を考えてください。",
2,戦略系（MBB等）,BCG,電車業界問題,JRが利益を最大化するための戦略を考えてください。,
3,戦略系（MBB等）,マッキンゼー,携帯業界問題,"大手携帯会社の利益率が減少している。この会社の利益率を向上させる最善の戦略を立案する上で、
(1)調査すべきことを網羅的かつ構造的に列挙してください。
(2)利益率を改善させる施策を考えてください。",
4,戦略系（MBB等）,マッキンゼー,缶コーヒー問題,"缶コーヒーメーカーが20年前から販売している缶コーヒーについて、売上がこの3ヶ月間で半分に落ちいます。
考えられる要因を全部挙げ、売上を改善するための施策を提案してください。",
5,総合系（BIG4等）,デロイト,インスタントラーメン問題,"2022年時点と2030年時点のインスタントラーメンのグローバル市場規模を推定してください。
また、インスタントラーメンメーカーが売上を伸ばす施策を一つだけ考えてください。","■フェルミ推定
2022年時点：人口70億人×所得割合×頻度×価格＝10兆円
2030年時点：人口80億人×所得割合×頻度×価格＝11.5兆円
■ケース回答
売上＝ラーメン食べる人口×頻度×単価
上記のうち、2倍にするための単価にアプローチ
→高単価商品のラインナップを増やすことを提案：健康機能を備えた商品および機能性表示商品
■質疑例
・推定の変数について、所得割合以外にどのような変数が考えられるか？
・健康機能を備えた商品は、ジャンクフードのユーザーに受けるのか？ミスマッチしていないか？"
6,総合系（BIG4等）,デロイト,自動車業界問題,"国内の自動車業界の市場規模を推定してください。
また、トヨタが若者向けの売上を上げるための施策を考えてください。","■フェルミ推定
個人所有：人口×年代別保有割合×保有台数×価格/買い替え年数
法人所有：法人数×会社別保有割合×保有台数×価格/買い替え年数
■ケース回答
・若者の売上の現状を確認→下がっているので、クライアントは売上維持を望んでいる
・若者の構成を地方と都会で分けて利用用途をそれぞれ検討
・売上が下がっている対象を都会の若者と推定
・なぜ都会の若者で売上が下がっているかを検討（①所得が下がっている、②可処分時間が下がっている（興味）、③交通手段が充実している）
・利用シーンの特定（買い物、旅行、趣味）
・施策の提案
→所得が低くても利用できる若者向けサブスクサービスを充実させる
→利用シーンを増やすための興味コンテンツを拡散する
■質疑例
・推定の変数について、所得割合以外にどのような変数が考えられるか？
・自分の回答以外に、国を動かすなどダイナミックな提案ができるとすればどのような施策が考えられるか？"
7,総合系（BIG4等）,デロイト,副業問題,"(1)民間の会社員の副業に関して、メリット・デメリットを検討してください。
(2)賛成か反対かの立場を決め、あなたの意見を聞かせてください。",
8,総合系（BIG4等）,デロイト,コンビニ問題,"(1)コンビニの無人化に関してメリット・デメリットを検討してください。
(2)賛成か反対かの立場を決め、あなたの意見を聞かせてください。",
9,総合系（BIG4等）,アクセンチュア,メガネメーカー問題,"国内の眼鏡の市場規模を推定してください。
眼鏡メーカーの売上を2倍にする施策を考えてください。","■フェルミ推定
人口×年代別保有割合×保有台数×価格/買い替え年数

■ケース回答
・単価を高めるため、価格を高くするための施策を検討

■質疑例
・推定の変数について、所得割合以外にどのような変数が考えられるか？
・"
10,総合系（BIG4等）,アクセンチュア,歩きスマホ問題,歩きスマホによる事故を減らすための施策を考えてください。,"■ケース回答
・なぜ歩きスマホが起こるかのシチュエーションを分解：
①地図の方向確認②電車など時間確認③連絡④習慣（ゲームなど）
・歩きスマホが起こる場所の特定
１屋内（駅、ビル）2屋外（道路、交差点、公園）
・上記より、最も頻度が多そうなシチュエーション×場所を特定し、施策を検討
・施策例：デジタルサイネージを増やし、スマホで移動手段、時間を確認しないで済むようインフラを整備する
■質疑例
・なぜ
・"
11,総合系（BIG4等）,アクセンチュア,UX問題,"自分が最近利用したサービスについて教えてください。
そのサービスのUXを向上させる施策を提案してください。","■サービス詳細

■ケース回答"
12,総合系（BIG4等）,アクセンチュア,フィットネスジム問題,"国内のフィットネスジム市場の売上規模を推定してください。
フィットネスジム企業の売上を2倍にするための施策を考えてください。",
13,総合系（BIG4等）,アクセンチュア,自動販売機問題,"国内の自動販売機の市場規模を推定してください。
飲料メーカーの自動販売機における売上を向上させる施策を考えてください。",
14,総合系（BIG4等）,アクセンチュア,コーヒー店舗問題,"コーヒー1店舗あたりの売上を考えてください。
条件：新宿駅徒歩5分、席数40席、営業時間：8時～21時
店のオーナーとして、店の利益を向上させる施策を考えてください。",
15,総合系（BIG4等）,アクセンチュア,美容室問題,美容室のオーナーとして、売上を2倍にする施策を考えてください。,
16,総合系（BIG4等）,東大生,交通事故問題,交通事故を減らすための施策を考えてください。,
